saml·ings|­punkt,~en ~er ,Singular,en samlingspunkt,obestämd form,en samlingspunkts,obestämd form genitiv,samlingspunkten,bestämd form,samlingspunktens,bestämd form genitiv,Plural,samlingspunkter,obestämd form,samlingspunkters,obestämd form genitiv,samlingspunkterna,bestämd form,samlingspunkternas,bestämd form genitiv
re·­sult·­at,~et; pl. ~ ,Singular,ett resultat,obestämd form,ett resultats,obestämd form genitiv,resultatet,bestämd form,resultatets,bestämd form genitiv,Plural,resultat,obestämd form,resultats,obestämd form genitiv,resultaten,bestämd form,resultatens,bestämd form genitiv
axel,~n axlar ,Singular,en axel,obestämd form,en axels,obestämd form genitiv,axeln,bestämd form,axelns,bestämd form genitiv,Plural,axlar,obestämd form,axlars,obestämd form genitiv,axlarna,bestämd form,axlarnas,bestämd form genitiv
porto|­fri·­het,~en ,Singular,en portofrihet,obestämd form,en portofrihets,obestämd form genitiv,portofriheten,bestämd form,portofrihetens,bestämd form genitiv
bygg·­nad,~en ~er ,Singular,en byggnad,obestämd form,en byggnads,obestämd form genitiv,byggnaden,bestämd form,byggnadens,bestämd form genitiv,Plural,byggnader,obestämd form,byggnaders,obestämd form genitiv,byggnaderna,bestämd form,byggnadernas,bestämd form genitiv
hot,~et; pl. ~ ,Singular,ett hot,obestämd form,ett hots,obestämd form genitiv,hotet,bestämd form,hotets,bestämd form genitiv,Plural,hot,obestämd form,hots,obestämd form genitiv,hoten,bestämd form,hotens,bestämd form genitiv
hot,neutr. ~; pl. hotta ,Positiv,en hot + substantiv,ett hot + substantiv,den/det/de hotta + substantiv,Komparativ,en/ett/den/det/de hottare + substantiv,Superlativ,är hottast,den/det/de hottaste + substantiv
subr·­ett,~en ~er ,Singular,en subrett,obestämd form,en subretts,obestämd form genitiv,subretten,bestämd form,subrettens,bestämd form genitiv,Plural,subretter,obestämd form,subretters,obestämd form genitiv,subretterna,bestämd form,subretternas,bestämd form genitiv
pre·­sent,~en ~er ,Singular,en present,obestämd form,en presents,obestämd form genitiv,presenten,bestämd form,presentens,bestämd form genitiv,Plural,presenter,obestämd form,presenters,obestämd form genitiv,presenterna,bestämd form,presenternas,bestämd form genitiv
pre·­sent,n. ~, ~a ,Positiv,en present + substantiv,ett present + substantiv,den/det/de presenta + substantiv
stads|­del,~en ~ar ,Singular,en stadsdel,obestämd form,en stadsdels,obestämd form genitiv,stadsdelen,bestämd form,stadsdelens,bestämd form genitiv,Plural,stadsdelar,obestämd form,stadsdelars,obestämd form genitiv,stadsdelarna,bestämd form,stadsdelarnas,bestämd form genitiv
sveda,~n ,Singular,en sveda,obestämd form,en svedas,obestämd form genitiv,svedan,bestämd form,svedans,bestämd form genitiv
sveda,svedde, svett, svedd n. svett, pres. sveder ,Finita former,sveder,presens aktiv,sveds (svedes),presens passiv,svedde,preteritum aktiv,sveddes,preteritum passiv,sved,imperativ aktiv,Infinita former,att sveda,infinitiv aktiv,att svedas,infinitiv passiv,har/hade svett,supinum aktiv,har/hade svetts,supinum passiv,Presens particip,svedande,Perfekt particip,en svedd + substantiv,ett svett + substantiv,den/det/de svedda + substantiv,den svedde + maskulint substantiv
form,~en ~ar ,Singular,en form,obestämd form,en forms,obestämd form genitiv,formen,bestämd form,formens,bestämd form genitiv,Plural,formar,obestämd form,formars,obestämd form genitiv,formarna,bestämd form,formarnas,bestämd form genitiv
form,~en ~er ,Singular,en form,obestämd form,en forms,obestämd form genitiv,formen,bestämd form,formens,bestämd form genitiv,Plural,former,obestämd form,formers,obestämd form genitiv,formerna,bestämd form,formernas,bestämd form genitiv
stas,~en ~er ,Singular,en stas,obestämd form,en stas,obestämd form genitiv,stasen,bestämd form,stasens,bestämd form genitiv,Plural,staser,obestämd form,stasers,obestämd form genitiv,staserna,bestämd form,stasernas,bestämd form genitiv
upp|­gift,~en ~er ,Singular,en uppgift,obestämd form,en uppgifts,obestämd form genitiv,uppgiften,bestämd form,uppgiftens,bestämd form genitiv,Plural,uppgifter,obestämd form,uppgifters,obestämd form genitiv,uppgifterna,bestämd form,uppgifternas,bestämd form genitiv
lär·­are,~n; pl. ~, best. pl. lärarna ,Singular,en lärare,obestämd form,en lärares,obestämd form genitiv,läraren,bestämd form,lärarens,bestämd form genitiv,Plural,lärare,obestämd form,lärares,obestämd form genitiv,lärarna,bestämd form,lärarnas,bestämd form genitiv
sysk·­on,~et; pl. ~ ,Singular,ett syskon,obestämd form,ett syskons,obestämd form genitiv,syskonet,bestämd form,syskonets,bestämd form genitiv,Plural,syskon,obestämd form,syskons,obestämd form genitiv,syskonen,bestämd form,syskonens,bestämd form genitiv
onto·­logi,~n ,Singular,en ontologi,obestämd form,en ontologis,obestämd form genitiv,ontologin,bestämd form,ontologins,bestämd form genitiv
make,~n makar ,Singular,en make,obestämd form,en makes,obestämd form genitiv,maken,bestämd form,makens,bestämd form genitiv,Plural,makar,obestämd form,makars,obestämd form genitiv,makarna,bestämd form,makarnas,bestämd form genitiv
sem·­in·­ari·­um,seminariet seminarier ,Singular,ett seminarium,obestämd form,ett seminariums,obestämd form genitiv,seminariet,bestämd form,seminariets,bestämd form genitiv,Plural,seminarier,obestämd form,seminariers,obestämd form genitiv,seminarierna,bestämd form,seminariernas,bestämd form genitiv
språk|­grupp,~en ~er ,Singular,en språkgrupp,obestämd form,en språkgrupps,obestämd form genitiv,språkgruppen,bestämd form,språkgruppens,bestämd form genitiv,Plural,språkgrupper,obestämd form,språkgruppers,obestämd form genitiv,språkgrupperna,bestämd form,språkgruppernas,bestämd form genitiv
verk|­stad,~en el. vard. ‑stan; pl. ‑städer ,Singular,en verkstad,obestämd form,en verkstads,obestämd form genitiv,verkstaden (verkstan),bestämd form,verkstadens (verkstans),bestämd form genitiv,Plural,verkstäder,obestämd form,verkstäders,obestämd form genitiv,verkstäderna,bestämd form,verkstädernas,bestämd form genitiv
stav·­else,~n ~r ,Singular,en stavelse,obestämd form,en stavelses,obestämd form genitiv,stavelsen,bestämd form,stavelsens,bestämd form genitiv,Plural,stavelser,obestämd form,stavelsers,obestämd form genitiv,stavelserna,bestämd form,stavelsernas,bestämd form genitiv
fylla,~n fyllor ,Singular,en fylla,obestämd form,en fyllas,obestämd form genitiv,fyllan,bestämd form,fyllans,bestämd form genitiv,Plural,fyllor,obestämd form,fyllors,obestämd form genitiv,fyllorna,bestämd form,fyllornas,bestämd form genitiv
fylla,fyllde fyllt ,Finita former,fyller,presens aktiv,fylls (fylles),presens passiv,fyllde,preteritum aktiv,fylldes,preteritum passiv,fyll,imperativ aktiv,Infinita former,att fylla,infinitiv aktiv,att fyllas,infinitiv passiv,har/hade fyllt,supinum aktiv,har/hade fyllts,supinum passiv,Presens particip,fyllande,Perfekt particip,en fylld + substantiv,ett fyllt + substantiv,den/det/de fyllda + substantiv
sliper,~n sliprar ,Singular,en sliper,obestämd form,en slipers,obestämd form genitiv,slipern,bestämd form,sliperns,bestämd form genitiv,Plural,sliprar,obestämd form,sliprars,obestämd form genitiv,sliprarna,bestämd form,sliprarnas,bestämd form genitiv
kjol,~en ~ar ,Singular,en kjol,obestämd form,en kjols,obestämd form genitiv,kjolen,bestämd form,kjolens,bestämd form genitiv,Plural,kjolar,obestämd form,kjolars,obestämd form genitiv,kjolarna,bestämd form,kjolarnas,bestämd form genitiv
psyko·­logi,~n ,Singular,en psykologi,obestämd form,en psykologis,obestämd form genitiv,psykologin,bestämd form,psykologins,bestämd form genitiv
gen·­er·­at·ion,~en ~er ,Singular,en generation,obestämd form,en generations,obestämd form genitiv,generationen,bestämd form,generationens,bestämd form genitiv,Plural,generationer,obestämd form,generationers,obestämd form genitiv,generationerna,bestämd form,generationernas,bestämd form genitiv
ac·­klam·­at·ion,~en ~er ,Singular,en acklamation,obestämd form,en acklamations,obestämd form genitiv,acklamationen,bestämd form,acklamationens,bestämd form genitiv,Plural,acklamationer,obestämd form,acklamationers,obestämd form genitiv,acklamationerna,bestämd form,acklamationernas,bestämd form genitiv
pre·­pos·­it·ion,~en ~er ,Singular,en preposition,obestämd form,en prepositions,obestämd form genitiv,prepositionen,bestämd form,prepositionens,bestämd form genitiv,Plural,prepositioner,obestämd form,prepositioners,obestämd form genitiv,prepositionerna,bestämd form,prepositionernas,bestämd form genitiv
tid,~en ~er ,Singular,en tid,obestämd form,en tids,obestämd form genitiv,tiden,bestämd form,tidens,bestämd form genitiv,Plural,tider,obestämd form,tiders,obestämd form genitiv,tiderna,bestämd form,tidernas,bestämd form genitiv
komp·­is,~en ~ar ,Singular,en kompis,obestämd form,en kompis,obestämd form genitiv,kompisen,bestämd form,kompisens,bestämd form genitiv,Plural,kompisar,obestämd form,kompisars,obestämd form genitiv,kompisarna,bestämd form,kompisarnas,bestämd form genitiv
syst·­em,~et; pl. ~ ,Singular,ett system,obestämd form,ett systems,obestämd form genitiv,systemet,bestämd form,systemets,bestämd form genitiv,Plural,system,obestämd form,systems,obestämd form genitiv,systemen,bestämd form,systemens,bestämd form genitiv
skriv|­stil,~en ~ar ,Singular,en skrivstil,obestämd form,en skrivstils,obestämd form genitiv,skrivstilen,bestämd form,skrivstilens,bestämd form genitiv,Plural,skrivstilar,obestämd form,skrivstilars,obestämd form genitiv,skrivstilarna,bestämd form,skrivstilarnas,bestämd form genitiv
halv|­år,~et; pl. ~ ,Singular,ett halvår,obestämd form,ett halvårs,obestämd form genitiv,halvåret,bestämd form,halvårets,bestämd form genitiv,Plural,halvår,obestämd form,halvårs,obestämd form genitiv,halvåren,bestämd form,halvårens,bestämd form genitiv
kär·­lek,~en ~ar ,Singular,en kärlek,obestämd form,en kärleks,obestämd form genitiv,kärleken,bestämd form,kärlekens,bestämd form genitiv,Plural,kärlekar,obestämd form,kärlekars,obestämd form genitiv,kärlekarna,bestämd form,kärlekarnas,bestämd form genitiv
karta,~n kartor ,Singular,en karta,obestämd form,en kartas,obestämd form genitiv,kartan,bestämd form,kartans,bestämd form genitiv,Plural,kartor,obestämd form,kartors,obestämd form genitiv,kartorna,bestämd form,kartornas,bestämd form genitiv
litter·­at·­ur,~en ~er ,Singular,en litteratur,obestämd form,en litteraturs,obestämd form genitiv,litteraturen,bestämd form,litteraturens,bestämd form genitiv,Plural,litteraturer,obestämd form,litteraturers,obestämd form genitiv,litteraturerna,bestämd form,litteraturernas,bestämd form genitiv
häst,~en ~ar ,Singular,en häst,obestämd form,en hästs,obestämd form genitiv,hästen,bestämd form,hästens,bestämd form genitiv,Plural,hästar,obestämd form,hästars,obestämd form genitiv,hästarna,bestämd form,hästarnas,bestämd form genitiv
känsla,~n känslor ,Singular,en känsla,obestämd form,en känslas,obestämd form genitiv,känslan,bestämd form,känslans,bestämd form genitiv,Plural,känslor,obestämd form,känslors,obestämd form genitiv,känslorna,bestämd form,känslornas,bestämd form genitiv
mån·­ad,~en ~er ,Singular,en månad,obestämd form,en månads,obestämd form genitiv,månaden,bestämd form,månadens,bestämd form genitiv,Plural,månader,obestämd form,månaders,obestämd form genitiv,månaderna,bestämd form,månadernas,bestämd form genitiv
mora,~n moror ,Singular,en mora,obestämd form,en moras,obestämd form genitiv,moran,bestämd form,morans,bestämd form genitiv,Plural,moror,obestämd form,morors,obestämd form genitiv,mororna,bestämd form,morornas,bestämd form genitiv
änd·­else,~n ~r ,Singular,en ändelse,obestämd form,en ändelses,obestämd form genitiv,ändelsen,bestämd form,ändelsens,bestämd form genitiv,Plural,ändelser,obestämd form,ändelsers,obestämd form genitiv,ändelserna,bestämd form,ändelsernas,bestämd form genitiv
under|­lag,~et; pl. ~ ,Singular,ett underlag,obestämd form,ett underlags,obestämd form genitiv,underlaget,bestämd form,underlagets,bestämd form genitiv,Plural,underlag,obestämd form,underlags,obestämd form genitiv,underlagen,bestämd form,underlagens,bestämd form genitiv
scen·­ario,~t; pl. scenarier el. ~n ,Singular,ett scenario,obestämd form,ett scenarios,obestämd form genitiv,scenariot,bestämd form,scenariots,bestämd form genitiv,Plural,scenarier (scenarion),obestämd form,scenariers (scenarions),obestämd form genitiv,scenarierna (scenariona),bestämd form,scenariernas (scenarionas),bestämd form genitiv
sam|­arbete,~t ~n ,Singular,ett samarbete,obestämd form,ett samarbetes,obestämd form genitiv,samarbetet,bestämd form,samarbetets,bestämd form genitiv,Plural,samarbeten,obestämd form,samarbetens,obestämd form genitiv,samarbetena,bestämd form,samarbetenas,bestämd form genitiv
seg·­ment,~et; pl. ~ ,Singular,ett segment,obestämd form,ett segments,obestämd form genitiv,segmentet,bestämd form,segmentets,bestämd form genitiv,Plural,segment,obestämd form,segments,obestämd form genitiv,segmenten,bestämd form,segmentens,bestämd form genitiv
padel,~n ,Singular,en padel,obestämd form,en padels,obestämd form genitiv,padeln,bestämd form,padelns,bestämd form genitiv
