Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
huvudstad,~en el. vard. ?stan; pl. ?städer ,huvudstad,huvudstads,huvudstaden (huvudstan),huvudstadens (huvudstans),huvudstäder,huvudstäders,huvudstäderna,huvudstädernas,en,hu,hu,huv,huv,ad,an,tad,tan,0.3333333333333333,0.30434782608695654,9,23
huvuddel,~en ~ar ,huvuddel,huvuddels,huvuddelen,huvuddelens,huvuddelar,huvuddelars,huvuddelarna,huvuddelarnas,en,hu,hu,huv,huv,el,en,del,len,0.375,0.4,8,10
förtal,~et; pl. ~ ,förtal,förtals,förtalet,förtalets,förtal,förtals,förtalen,förtalens,ett,fö,fö,för,för,al,et,tal,let,0.3333333333333333,0.375,6,8
konfigurat·ion,~en ~er ,konfiguration,konfigurations,konfigurationen,konfigurationens,konfigurationer,konfigurationers,konfigurationerna,konfigurationernas,en,ko,ko,kon,kon,on,en,ion,nen,0.46153846153846156,0.4666666666666667,13,15
regel,~n regler ,regel,regels,regeln,regelns,regler,reglers,reglerna,reglernas,en,re,re,reg,reg,el,ln,gel,eln,0.4,0.3333333333333333,5,6
regel,~n reglar ,regel,regels,regeln,regelns,reglar,reglars,reglarna,reglarnas,en,re,re,reg,reg,el,ln,gel,eln,0.4,0.3333333333333333,5,6
ansats,~en ~er ,ansats,ansats,ansatsen,ansatsens,ansatser,ansatsers,ansatserna,ansatsernas,en,an,an,ans,ans,ts,en,ats,sen,0.3333333333333333,0.375,6,8
matos,~et ,matos,matos,matoset,matosets,NOP,NOP,NOP,NOP,ett,ma,ma,mat,mat,os,et,tos,set,0.4,0.42857142857142855,5,7
arv,~et; pl. ~ ,arv,arvs,arvet,arvets,arv,arvs,arven,arvens,ett,ar,ar,arv,arv,rv,et,arv,vet,0.3333333333333333,0.4,3,5
arv,~en ,arv,arvs,arven,arvens,NOP,NOP,NOP,NOP,en,ar,ar,arv,arv,rv,en,arv,ven,0.3333333333333333,0.4,3,5
pdf,pdf:en pdf:er ,pdf,pdf:s,pdf:en,pdf:ens,pdf:er,pdf:ers,pdf:erna,pdf:ernas,en,pd,pd,pdf,pdf,df,en,pdf,:en,0.0,0.16666666666666666,3,6
trop,~en ~er ,trop,trops,tropen,tropens,troper,tropers,troperna,tropernas,en,tr,tr,tro,tro,op,en,rop,pen,0.25,0.3333333333333333,4,6
realisat·ion,~en ~er ,realisation,realisations,realisationen,realisationens,realisationer,realisationers,realisationerna,realisationernas,en,re,re,rea,rea,on,en,ion,nen,0.5454545454545454,0.5384615384615384,11,13
sjö,~n ~ar ,sjö,sjös,sjön,sjöns,sjöar,sjöars,sjöarna,sjöarnas,en,sj,sj,sjö,sjö,jö,ön,sjö,jön,0.3333333333333333,0.25,3,4
artikel,~n artiklar ,artikel,artikels,artikeln,artikelns,artiklar,artiklars,artiklarna,artiklarnas,en,ar,ar,art,art,el,ln,kel,eln,0.42857142857142855,0.375,7,8
ramsa,~n ramsor ,ramsa,ramsas,ramsan,ramsans,ramsor,ramsors,ramsorna,ramsornas,en,ra,ra,ram,ram,sa,an,msa,san,0.4,0.3333333333333333,5,6
clou,~n ,clou,clous,cloun,clouns,NOP,NOP,NOP,NOP,en,cl,cl,clo,clo,ou,un,lou,oun,0.5,0.4,4,5
fason,~en ~er ,fason,fasons,fasonen,fasonens,fasoner,fasoners,fasonerna,fasonernas,en,fa,fa,fas,fas,on,en,son,nen,0.4,0.42857142857142855,5,7
bornyr,~en ,bornyr,bornyrs,bornyren,bornyrens,NOP,NOP,NOP,NOP,en,bo,bo,bor,bor,yr,en,nyr,ren,0.3333333333333333,0.375,6,8
vara,~n varor ,vara,varas,varan,varans,varor,varors,varorna,varornas,en,va,va,var,var,ra,an,ara,ran,0.5,0.4,4,5
vara,~de ~t ,vara,varas,varat,varats,NOP,NOP,NOP,NOP,ett,va,va,var,var,ra,at,ara,rat,0.5,0.4,4,5
patient,~en ~er ,patient,patients,patienten,patientens,patienter,patienters,patienterna,patienternas,en,pa,pa,pat,pat,nt,en,ent,ten,0.42857142857142855,0.4444444444444444,7,9
beteende,~t ~n ,beteende,beteendes,beteendet,beteendets,beteenden,beteendens,beteendena,beteendenas,ett,be,be,bet,bet,de,et,nde,det,0.5,0.4444444444444444,8,9
bror,brodern bröder ,bror (en broder),brors (en broders),brodern,broderns,bröder,bröders,bröderna,brödernas,en,br,br,bro,bro,er,rn,der,ern,0.25,0.2857142857142857,16,7
hagiografi,~n ~er ,hagiografi,hagiografis,hagiografin,hagiografins,hagiografier,hagiografiers,hagiografierna,hagiografiernas,en,ha,ha,hag,hag,fi,in,afi,fin,0.5,0.45454545454545453,10,11
kvantitet,~en ~er ,kvantitet,kvantitets,kvantiteten,kvantitetens,kvantiteter,kvantiteters,kvantiteterna,kvantiteternas,en,kv,kv,kva,kva,et,en,tet,ten,0.3333333333333333,0.36363636363636365,9,11
koordinator,~n ~er [?o´r?] ,koordinator,koordinators,koordinatorn,koordinatorns,koordinatorer,koordinatorers,koordinatorerna,koordinatorernas,en,ko,ko,koo,koo,or,rn,tor,orn,0.45454545454545453,0.4166666666666667,11,12
springa,~n springor ,springa,springas,springan,springans,springor,springors,springorna,springornas,en,sp,sp,spr,spr,ga,an,nga,gan,0.2857142857142857,0.25,7,8
spåna,~n spånor ,spåna,spånas,spånan,spånans,spånor,spånors,spånorna,spånornas,en,sp,sp,spå,spå,na,an,åna,nan,0.4,0.3333333333333333,5,6
botten,bottnen el. ~; pl. bottnar ,botten,bottens,bottnen (botten),bottnens (bottens),bottnar,bottnars,bottnarna,bottnarnas,en,bo,bo,bot,bot,en,en,ten,ten,0.3333333333333333,0.25,6,16
reger·ing,~en ~ar ,regering,regerings,regeringen,regeringens,regeringar,regeringars,regeringarna,regeringarnas,en,re,re,reg,reg,ng,en,ing,gen,0.375,0.4,8,10
föda,~n ,föda,födas,födan,födans,NOP,NOP,NOP,NOP,en,fö,fö,föd,föd,da,an,öda,dan,0.5,0.4,4,5
inställning,~en ~ar ,inställning,inställnings,inställningen,inställningens,inställningar,inställningars,inställningarna,inställningarnas,en,in,in,ins,ins,ng,en,ing,gen,0.2727272727272727,0.3076923076923077,11,13
historia,historien historier ,historia,historias,historien,historiens,historier,historiers,historierna,historiernas,en,hi,hi,his,his,ia,en,ria,ien,0.5,0.4444444444444444,8,9
styrmedel,?medlet; pl. ~,styrmedel,styrmedels,styrmedlet,styrmedlets,styrmedel,styrmedels,styrmedlen,styrmedlens,ett,st,st,sty,sty,el,et,del,let,0.3333333333333333,0.3,9,10
subba,~n subbor ,subba,subbas,subban,subbans,subbor,subbors,subborna,subbornas,en,su,su,sub,sub,ba,an,bba,ban,0.4,0.3333333333333333,5,6
kod,~en ~er ,kod,kods,koden,kodens,koder,koders,koderna,kodernas,en,ko,ko,kod,kod,od,en,kod,den,0.3333333333333333,0.4,3,5
premiärnervositet,~en ,premiärnervositet,premiärnervositets,premiärnervositeten,premiärnervositetens,NOP,NOP,NOP,NOP,en,pr,pr,pre,pre,et,en,tet,ten,0.4117647058823529,0.42105263157894735,17,19
mullvad,~en ~ar ,mullvad,mullvads,mullvaden,mullvadens,mullvadar,mullvadars,mullvadarna,mullvadarnas,en,mu,mu,mul,mul,ad,en,vad,den,0.2857142857142857,0.3333333333333333,7,9
tema,~t ~n ,tema,temas,temat,temats,teman,temans,temana,temanas,ett,te,te,tem,tem,ma,at,ema,mat,0.5,0.4,4,5
förordnande,~t ~n ,förordnande,förordnandes,förordnandet,förordnandets,förordnanden,förordnandens,förordnandena,förordnandenas,ett,fö,fö,för,för,de,et,nde,det,0.36363636363636365,0.3333333333333333,11,12
stolle,~n stollar ,stolle,stolles,stollen,stollens,stollar,stollars,stollarna,stollarnas,en,st,st,sto,sto,le,en,lle,len,0.3333333333333333,0.2857142857142857,6,7
poesi,~n ~er ,poesi,poesis,poesin,poesins,poesier,poesiers,poesierna,poesiernas,en,po,po,poe,poe,si,in,esi,sin,0.6,0.5,5,6
varande,~t ,varande,varandes,varandet,varandets,NOP,NOP,NOP,NOP,ett,va,va,var,var,de,et,nde,det,0.42857142857142855,0.375,7,8
svärdotter,~n ?döttrar ,svärdotter,svärdotters,svärdottern,svärdotterns,svärdöttrar,svärdöttrars,svärdöttrarna,svärdöttrarnas,en,sv,sv,svä,svä,er,rn,ter,ern,0.3,0.2727272727272727,10,11
engelska,~n engelskor ,engelska,engelskas,engelskan,engelskans,engelskor,engelskors,engelskorna,engelskornas,en,en,en,eng,eng,ka,an,ska,kan,0.375,0.3333333333333333,8,9
avstavning,~en ~ar ,avstavning,avstavnings,avstavningen,avstavningens,avstavningar,avstavningars,avstavningarna,avstavningarnas,en,av,av,avs,avs,ng,en,ing,gen,0.3,0.3333333333333333,10,12
bytta,~n byttor ,bytta,byttas,byttan,byttans,byttor,byttors,byttorna,byttornas,en,by,by,byt,byt,ta,an,tta,tan,0.4,0.3333333333333333,5,6
id,~en ~ar ,id,ids,iden,idens,idar,idars,idarna,idarnas,en,id,id,id,ide,id,en,id,den,0.5,0.5,2,4
id,~en ,id,ids,iden,idens,NOP,NOP,NOP,NOP,en,id,id,id,ide,id,en,id,den,0.5,0.5,2,4
id,id:t el. id:n; pl. id:n ,id,NOP,NOP,NOP,NOP,NOP,NOP,NOP,en,id,NO,id,NOP,id,OP,id,NOP,0.5,0.3333333333333333,2,3
id,ID:t el. ID:n; pl. ID:n ,id (ett ID),id:s (ett ID:s),id:t (id:n; ID:t; ID:n),id:ts (id:ns; ID:ts; ID:ns),id:n (ID:n),id:ns (ID:ns),id:na (ID:na),id:nas (ID:nas),ett,id,id,id ,id:,ID,:n, ID,D:n,0.2727272727272727,0.17391304347826086,11,23
tölp,~en ~ar ,tölp,tölps,tölpen,tölpens,tölpar,tölpars,tölparna,tölparnas,en,tö,tö,töl,töl,lp,en,ölp,pen,0.25,0.3333333333333333,4,6
assister·ing,~en ~ar ,assistering,assisterings,assisteringen,assisteringens,assisteringar,assisteringars,assisteringarna,assisteringarnas,en,as,as,ass,ass,ng,en,ing,gen,0.36363636363636365,0.38461538461538464,11,13
smällare,~n; pl. ~,smällare,smällares,smällaren,smällarens,smällare,smällares,smällarna,smällarnas,en,sm,sm,smä,smä,re,en,are,ren,0.375,0.3333333333333333,8,9
ursprung,~et; pl. ~ ,ursprung,ursprungs,ursprunget,ursprungets,ursprung,ursprungs,ursprungen,ursprungens,ett,ur,ur,urs,urs,ng,et,ung,get,0.25,0.3,8,10
dialog,~en ~er ,dialog,dialogs,dialogen,dialogens,dialoger,dialogers,dialogerna,dialogernas,en,di,di,dia,dia,og,en,log,gen,0.5,0.5,6,8
levnadsöde,~t ~n ,levnadsöde,levnadsödes,levnadsödet,levnadsödets,levnadsöden,levnadsödens,levnadsödena,levnadsödenas,ett,le,le,lev,lev,de,et,öde,det,0.4,0.36363636363636365,10,11
komplikat·ion,~en ~er ,komplikation,komplikations,komplikationen,komplikationens,komplikationer,komplikationers,komplikationerna,komplikationernas,en,ko,ko,kom,kom,on,en,ion,nen,0.4166666666666667,0.42857142857142855,12,14
silo,~n ~r ,silo,silos,silon,silons,silor,silors,silorna,silornas,en,si,si,sil,sil,lo,on,ilo,lon,0.5,0.4,4,5
interakt·ion,~en ~er ,interaktion,interaktions,interaktionen,interaktionens,interaktioner,interaktioners,interaktionerna,interaktionernas,en,in,in,int,int,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
samband,~et; pl. ~ ,samband,sambands,sambandet,sambandets,samband,sambands,sambanden,sambandens,ett,sa,sa,sam,sam,nd,et,and,det,0.2857142857142857,0.3333333333333333,7,9
tom,~en ~er ,tom,toms,tomen,tomens,tomer,tomers,tomerna,tomernas,en,to,to,tom,tom,om,en,tom,men,0.3333333333333333,0.4,3,5
ko,~n ~r ,ko,kos,kon,kons,kor,kors,korna,kornas,en,ko,ko,ko,kon,ko,on,ko,kon,0.5,0.3333333333333333,2,3
kongruensböjning,~en ~ar ,kongruensböjning,kongruensböjnings,kongruensböjningen,kongruensböjningens,kongruensböjningar,kongruensböjningars,kongruensböjningarna,kongruensböjningarnas,en,ko,ko,kon,kon,ng,en,ing,gen,0.3125,0.3333333333333333,16,18
entitet,~en ~er ,entitet,entitets,entiteten,entitetens,entiteter,entiteters,entiteterna,entiteternas,en,en,en,ent,ent,et,en,tet,ten,0.42857142857142855,0.4444444444444444,7,9
komma,~t ~n ,komma,kommas,kommat,kommats,komman,kommans,kommana,kommanas,ett,ko,ko,kom,kom,ma,at,mma,mat,0.4,0.3333333333333333,5,6
konsert,~en ~er ,konsert,konserts,konserten,konsertens,konserter,konserters,konserterna,konserternas,en,ko,ko,kon,kon,rt,en,ert,ten,0.2857142857142857,0.3333333333333333,7,9
kar,~et; pl. ~ ,kar,kars,karet,karets,kar,kars,karen,karens,ett,ka,ka,kar,kar,ar,et,kar,ret,0.3333333333333333,0.4,3,5
styrmekanism,~en ~er ,styrmekanism,styrmekanisms,styrmekanismen,styrmekanismens,styrmekanismer,styrmekanismers,styrmekanismerna,styrmekanismernas,en,st,st,sty,sty,sm,en,ism,men,0.3333333333333333,0.35714285714285715,12,14
stöld,~en ~er ,stöld,stölds,stölden,stöldens,stölder,stölders,stölderna,stöldernas,en,st,st,stö,stö,ld,en,öld,den,0.2,0.2857142857142857,5,7
armatur,~en ~er ,armatur,armaturs,armaturen,armaturens,armaturer,armaturers,armaturerna,armaturernas,en,ar,ar,arm,arm,ur,en,tur,ren,0.42857142857142855,0.4444444444444444,7,9
stätta,~n stättor ,stätta,stättas,stättan,stättans,stättor,stättors,stättorna,stättornas,en,st,st,stä,stä,ta,an,tta,tan,0.3333333333333333,0.2857142857142857,6,7
lampa,~n lampor ,lampa,lampas,lampan,lampans,lampor,lampors,lamporna,lampornas,en,la,la,lam,lam,pa,an,mpa,pan,0.4,0.3333333333333333,5,6
karat,~en; pl. ~ ,karat,karats,karaten,karatens,karat,karats,karaten,karatens,en,ka,ka,kar,kar,at,en,rat,ten,0.4,0.42857142857142855,5,7
atmosfär,~en ~er ,atmosfär,atmosfärs,atmosfären,atmosfärens,atmosfärer,atmosfärers,atmosfärerna,atmosfärernas,en,at,at,atm,atm,är,en,fär,ren,0.375,0.4,8,10
arbetsblad,~et; pl. ~ ,arbetsblad,arbetsblads,arbetsbladet,arbetsbladets,arbetsblad,arbetsblads,arbetsbladen,arbetsbladens,ett,ar,ar,arb,arb,ad,et,lad,det,0.3,0.3333333333333333,10,12
optant,~en ~er ,optant,optants,optanten,optantens,optanter,optanters,optanterna,optanternas,en,op,op,opt,opt,nt,en,ant,ten,0.3333333333333333,0.375,6,8
tituler·ing,~en ~ar ,titulering,titulerings,tituleringen,tituleringens,tituleringar,tituleringars,tituleringarna,tituleringarnas,en,ti,ti,tit,tit,ng,en,ing,gen,0.4,0.4166666666666667,10,12
anspråk,~et; pl. ~ ,anspråk,anspråks,anspråket,anspråkets,anspråk,anspråks,anspråken,anspråkens,ett,an,an,ans,ans,åk,et,råk,ket,0.2857142857142857,0.3333333333333333,7,9
tes,~en ~er ,tes,tes,tesen,tesens,teser,tesers,teserna,tesernas,en,te,te,tes,tes,es,en,tes,sen,0.3333333333333333,0.4,3,5
vatten,vattnet; pl. ~,vatten,vattens,vattnet,vattnets,vatten,vattens,vattnen,vattnens,ett,va,va,vat,vat,en,et,ten,net,0.3333333333333333,0.2857142857142857,6,7
skrivregel,~n ?regler ,skrivregel,skrivregels,skrivregeln,skrivregelns,skrivregler,skrivreglers,skrivreglerna,skrivreglernas,en,sk,sk,skr,skr,el,ln,gel,eln,0.3,0.2727272727272727,10,11
fredsengagemang,~et ,fredsengagemang,fredsengagemangs,fredsengagemanget,fredsengagemangets,NOP,NOP,NOP,NOP,ett,fr,fr,fre,fre,ng,et,ang,get,0.3333333333333333,0.35294117647058826,15,17
parvel,~n parvlar ,parvel,parvels,parveln,parvelns,parvlar,parvlars,parvlarna,parvlarnas,en,pa,pa,par,par,el,ln,vel,eln,0.3333333333333333,0.2857142857142857,6,7
sjuksköterska,~n ?sköterskor ,sjuksköterska,sjuksköterskas,sjuksköterskan,sjuksköterskans,sjuksköterskor,sjuksköterskors,sjuksköterskorna,sjuksköterskornas,en,sj,sj,sju,sju,ka,an,ska,kan,0.3076923076923077,0.2857142857142857,13,14
anläggning,~en ~ar ,anläggning,anläggnings,anläggningen,anläggningens,anläggningar,anläggningars,anläggningarna,anläggningarnas,en,an,an,anl,anl,ng,en,ing,gen,0.3,0.3333333333333333,10,12
controller,~n controllrar ,controller,controllers,controllern,controllerns,controllrar,controllrars,controllrarna,controllrarnas,en,co,co,con,con,er,rn,ler,ern,0.3,0.2727272727272727,10,11
slogan,~en; pl. ~er hellre än ~s ,slogan,slogans,sloganen,sloganens,sloganer (slogans),sloganers (slogans),sloganerna,sloganernas,en,sl,sl,slo,slo,an,en,gan,nen,0.3333333333333333,0.375,6,8
fyra,~de ~t ,fyra,fyras,fyran,fyrans,fyror,fyrors,fyrorna,fyrornas,en,fy,fy,fyr,fyr,ra,an,yra,ran,0.5,0.4,4,5
fåfänga,~n ,fåfänga,fåfängas,fåfängan,fåfängans,NOP,NOP,NOP,NOP,en,få,få,fåf,fåf,ga,an,nga,gan,0.42857142857142855,0.375,7,8
korrektur,~et; pl. ~ ,korrektur,korrekturs,korrekturet,korrekturets,korrektur,korrekturs,korrekturen,korrekturens,ett,ko,ko,kor,kor,ur,et,tur,ret,0.3333333333333333,0.36363636363636365,9,11
forum,~et; pl. ~ hellre än fora,forum,forums,forumet,forumets,forum (fora),forums (foras),forumen (fora),forumens (foras),ett,fo,fo,for,for,um,et,rum,met,0.4,0.42857142857142855,5,7
avtal,~et; pl. ~ ,avtal,avtals,avtalet,avtalets,avtal,avtals,avtalen,avtalens,ett,av,av,avt,avt,al,et,tal,let,0.4,0.42857142857142855,5,7
svar,~et; pl. ~ ,svar,svars,svaret,svarets,svar,svars,svaren,svarens,ett,sv,sv,sva,sva,ar,et,var,ret,0.25,0.3333333333333333,4,6
kaluv,~en ,kaluv,kaluvs,kaluven,kaluvens,NOP,NOP,NOP,NOP,en,ka,ka,kal,kal,uv,en,luv,ven,0.4,0.42857142857142855,5,7
sav,~en ,sav,savs,saven,savens,NOP,NOP,NOP,NOP,en,sa,sa,sav,sav,av,en,sav,ven,0.3333333333333333,0.4,3,5
avlägsenhet,~en ,avlägsenhet,avlägsenhets,avlägsenheten,avlägsenhetens,NOP,NOP,NOP,NOP,en,av,av,avl,avl,et,en,het,ten,0.36363636363636365,0.38461538461538464,11,13
styrka,~n styrkor ,styrka,styrkas,styrkan,styrkans,styrkor,styrkors,styrkorna,styrkornas,en,st,st,sty,sty,ka,an,rka,kan,0.3333333333333333,0.2857142857142857,6,7
revis·ion,~en ~er ,revision,revisions,revisionen,revisionens,revisioner,revisioners,revisionerna,revisionernas,en,re,re,rev,rev,on,en,ion,nen,0.5,0.5,8,10
ria,~n rior ,ria,rias,rian,rians,rior,riors,riorna,riornas,en,ri,ri,ria,ria,ia,an,ria,ian,0.6666666666666666,0.5,3,4
reassuradör,~en ~er ,reassuradör,reassuradörs,reassuradören,reassuradörens,reassuradörer,reassuradörers,reassuradörerna,reassuradörernas,en,re,re,rea,rea,ör,en,dör,ren,0.45454545454545453,0.46153846153846156,11,13
klimat,~et; pl. ~ ,klimat,klimats,klimatet,klimatets,klimat,klimats,klimaten,klimatens,ett,kl,kl,kli,kli,at,et,mat,tet,0.3333333333333333,0.375,6,8
utslagsplats,~en ~er ,utslagsplats,utslagsplats,utslagsplatsen,utslagsplatsens,utslagsplatser,utslagsplatsers,utslagsplatserna,utslagsplatsernas,en,ut,ut,uts,uts,ts,en,ats,sen,0.25,0.2857142857142857,12,14
kunskap,~en ~er ,kunskap,kunskaps,kunskapen,kunskapens,kunskaper,kunskapers,kunskaperna,kunskapernas,en,ku,ku,kun,kun,ap,en,kap,pen,0.2857142857142857,0.3333333333333333,7,9
kluster,klustret; pl. ~,kluster,klusters,klustret,klustrets,kluster,klusters,klustren,klustrens,ett,kl,kl,klu,klu,er,et,ter,ret,0.2857142857142857,0.25,7,8
måndag,~en el. vard. ?dan; pl. ~ar ,måndag,måndags,måndagen (måndan),måndagens (måndans),måndagar,måndagars,måndagarna,måndagarnas,en,må,må,mån,mån,ag,an,dag,dan,0.3333333333333333,0.29411764705882354,6,17
betäckning,~en ~ar ,betäckning,betäcknings,betäckningen,betäckningens,betäckningar,betäckningars,betäckningarna,betäckningarnas,en,be,be,bet,bet,ng,en,ing,gen,0.3,0.3333333333333333,10,12
försvar,~et; pl. ~ ,försvar,försvars,försvaret,försvarets,försvar,försvars,försvaren,försvarens,ett,fö,fö,för,för,ar,et,var,ret,0.2857142857142857,0.3333333333333333,7,9
myndighet,~en ~er ,myndighet,myndighets,myndigheten,myndighetens,myndigheter,myndigheters,myndigheterna,myndigheternas,en,my,my,myn,myn,et,en,het,ten,0.3333333333333333,0.36363636363636365,9,11
snuva,~n snuvor ,snuva,snuvas,snuvan,snuvans,snuvor,snuvors,snuvorna,snuvornas,en,sn,sn,snu,snu,va,an,uva,van,0.4,0.3333333333333333,5,6
w,w:et; pl. w:n el. w,w,w:s,w:et,w:ets,w:n (w),w:ns (w:s),w:na,w:nas,ett,w,w:,w,w:e,w,et,w,:et,0.0,0.25,1,4
avbrott,~et; pl. ~ ,avbrott,avbrotts,avbrottet,avbrottets,avbrott,avbrotts,avbrotten,avbrottens,ett,av,av,avb,avb,tt,et,ott,tet,0.2857142857142857,0.3333333333333333,7,9
ensamhet,~en ~er ,ensamhet,ensamhets,ensamheten,ensamhetens,ensamheter,ensamheters,ensamheterna,ensamheternas,en,en,en,ens,ens,et,en,het,ten,0.375,0.4,8,10
ansats,~en ~er ,ansats,ansats,ansatsen,ansatsens,ansatser,ansatsers,ansatserna,ansatsernas,en,an,an,ans,ans,ts,en,ats,sen,0.3333333333333333,0.375,6,8
remiss,~en ~er ,remiss,remiss,remissen,remissens,remisser,remissers,remisserna,remissernas,en,re,re,rem,rem,ss,en,iss,sen,0.3333333333333333,0.375,6,8
snäsa,~n snäsor ,snäsa,snäsas,snäsan,snäsans,snäsor,snäsors,snäsorna,snäsornas,en,sn,sn,snä,snä,sa,an,äsa,san,0.4,0.3333333333333333,5,6
inventarium,inventariet inventarier ,inventarium,inventariums,inventariet,inventariets,inventarier,inventariers,inventarierna,inventariernas,ett,in,in,inv,inv,um,et,ium,iet,0.45454545454545453,0.45454545454545453,11,11
firma,~n firmor ,firma,firmas,firman,firmans,firmor,firmors,firmorna,firmornas,en,fi,fi,fir,fir,ma,an,rma,man,0.4,0.3333333333333333,5,6
bibliotek,~et; pl. ~ ,bibliotek,biblioteks,biblioteket,bibliotekets,bibliotek,biblioteks,biblioteken,bibliotekens,ett,bi,bi,bib,bib,ek,et,tek,ket,0.4444444444444444,0.45454545454545453,9,11
substitut,~et; pl. ~ ,substitut,substituts,substitutet,substitutets,substitut,substituts,substituten,substitutens,ett,su,su,sub,sub,ut,et,tut,tet,0.3333333333333333,0.36363636363636365,9,11
plats,~en ~er ,plats,plats,platsen,platsens,platser,platsers,platserna,platsernas,en,pl,pl,pla,pla,ts,en,ats,sen,0.2,0.2857142857142857,5,7
nesa,~n nesor ,nesa,nesas,nesan,nesans,nesor,nesors,nesorna,nesornas,en,ne,ne,nes,nes,sa,an,esa,san,0.5,0.4,4,5
slem,~met ,slem,slems,slemmet,slemmets,NOP,NOP,NOP,NOP,ett,sl,sl,sle,sle,em,et,lem,met,0.25,0.2857142857142857,4,7
exil,~en ~er ,exil,exils,exilen,exilens,exiler,exilers,exilerna,exilernas,en,ex,ex,exi,exi,il,en,xil,len,0.5,0.5,4,6
disposit·ion,~en ~er ,disposition,dispositions,dispositionen,dispositionens,dispositioner,dispositioners,dispositionerna,dispositionernas,en,di,di,dis,dis,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
reformat·ion,~en ~er ,reformation,reformations,reformationen,reformationens,reformationer,reformationers,reformationerna,reformationernas,en,re,re,ref,ref,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
utnyttjande,~t ~n ,utnyttjande,utnyttjandes,utnyttjandet,utnyttjandets,utnyttjanden,utnyttjandens,utnyttjandena,utnyttjandenas,ett,ut,ut,utn,utn,de,et,nde,det,0.36363636363636365,0.3333333333333333,11,12
kulvert,~en ~ar ,kulvert,kulverts,kulverten,kulvertens,kulvertar,kulvertars,kulvertarna,kulvertarnas,en,ku,ku,kul,kul,rt,en,ert,ten,0.2857142857142857,0.3333333333333333,7,9
liv,~et; pl. ~ ,liv,livs,livet,livets,liv,livs,liven,livens,ett,li,li,liv,liv,iv,et,liv,vet,0.3333333333333333,0.4,3,5
övning,~en ~ar ,övning,övnings,övningen,övningens,övningar,övningars,övningarna,övningarnas,en,öv,öv,övn,övn,ng,en,ing,gen,0.3333333333333333,0.375,6,8
underlighet,~en ~er ,underlighet,underlighets,underligheten,underlighetens,underligheter,underligheters,underligheterna,underligheternas,en,un,un,und,und,et,en,het,ten,0.36363636363636365,0.38461538461538464,11,13
son,~en söner ,son,sons,sonen,sonens,söner,söners,sönerna,sönernas,en,so,so,son,son,on,en,son,nen,0.3333333333333333,0.4,3,5
sekundärlitteratur,~en ,sekundärlitteratur,sekundärlitteraturs,sekundärlitteraturen,sekundärlitteraturens,NOP,NOP,NOP,NOP,en,se,se,sek,sek,ur,en,tur,ren,0.3888888888888889,0.4,18,20
tidpunkt,~en ~er ,tidpunkt,tidpunkts,tidpunkten,tidpunktens,tidpunkter,tidpunkters,tidpunkterna,tidpunkternas,en,ti,ti,tid,tid,kt,en,nkt,ten,0.25,0.3,8,10
or,~et; pl. ~ ,or,ors,oret,orets,or,ors,oren,orens,ett,or,or,or,ore,or,et,or,ret,0.5,0.5,2,4
tillstånd,~et; pl. ~ ,tillstånd,tillstånds,tillståndet,tillståndets,tillstånd,tillstånds,tillstånden,tillståndens,ett,ti,ti,til,til,nd,et,ånd,det,0.2222222222222222,0.2727272727272727,9,11
anvisning,~en ~ar ,anvisning,anvisnings,anvisningen,anvisningens,anvisningar,anvisningars,anvisningarna,anvisningarnas,en,an,an,anv,anv,ng,en,ing,gen,0.3333333333333333,0.36363636363636365,9,11
adverb,~et; pl. ~ ,adverb,adverbs,adverbet,adverbets,adverb,adverbs,adverben,adverbens,ett,ad,ad,adv,adv,rb,et,erb,bet,0.3333333333333333,0.375,6,8
bil,~en ~ar ,bil,bils,bilen,bilens,bilar,bilars,bilarna,bilarnas,en,bi,bi,bil,bil,il,en,bil,len,0.3333333333333333,0.4,3,5
skov,~et; pl. ~ ,skov,skovs,skovet,skovets,skov,skovs,skoven,skovens,ett,sk,sk,sko,sko,ov,et,kov,vet,0.25,0.3333333333333333,4,6
faktor,~n ~er [?o´r?] ,faktor,faktors,faktorn,faktorns,faktorer,faktorers,faktorerna,faktorernas,en,fa,fa,fak,fak,or,rn,tor,orn,0.3333333333333333,0.2857142857142857,6,7
suffix,~et; pl. ~ ,suffix,suffix,suffixet,suffixets,suffix,suffix,suffixen,suffixens,ett,su,su,suf,suf,ix,et,fix,xet,0.3333333333333333,0.375,6,8
