Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
ordförståelse,~n ,ordförståelse,ordförståelses,ordförståelsen,ordförståelsens,NOP,NOP,NOP,NOP,en,or,or,ord,ord,se,en,lse,sen,0.38461538461538464,0.35714285714285715,13,14
förskrivning,~en ~ar ,förskrivning,förskrivnings,förskrivningen,förskrivningens,förskrivningar,förskrivningars,förskrivningarna,förskrivningarnas,en,fö,fö,för,för,ng,en,ing,gen,0.25,0.2857142857142857,12,14
axiom,~et; pl. ~ ,axiom,axioms,axiomet,axiomets,axiom,axioms,axiomen,axiomens,ett,ax,ax,axi,axi,om,et,iom,met,0.6,0.5714285714285714,5,7
appendix,~et; pl. ~ ,appendix,appendix,appendixet,appendixets,appendix,appendix,appendixen,appendixens,ett,ap,ap,app,app,ix,et,dix,xet,0.375,0.4,8,10
språklära,~n ?läror ,språklära,språkläras,språkläran,språklärans,språkläror,språklärors,språklärorna,språklärornas,en,sp,sp,spr,spr,ra,an,ära,ran,0.3333333333333333,0.3,9,10
klipp,~et; pl. ~ ,klipp,klipps,klippet,klippets,klipp,klipps,klippen,klippens,ett,kl,kl,kli,kli,pp,et,ipp,pet,0.2,0.2857142857142857,5,7
gudson,~en ?söner ,gudson,gudsons,gudsonen,gudsonens,gudsöner,gudsöners,gudsönerna,gudsönernas,en,gu,gu,gud,gud,on,en,son,nen,0.3333333333333333,0.375,6,8
senior,~en ~er ,senior,seniors,senioren,seniorens,seniorer,seniorers,seniorerna,seniorernas,en,se,se,sen,sen,or,en,ior,ren,0.5,0.5,6,8
salva,~n salvor ,salva,salvas,salvan,salvans,salvor,salvors,salvorna,salvornas,en,sa,sa,sal,sal,va,an,lva,van,0.4,0.3333333333333333,5,6
tvång,~et; pl. ~ ,tvång,tvångs,tvånget,tvångets,tvång,tvångs,tvången,tvångens,ett,tv,tv,två,två,ng,et,ång,get,0.2,0.2857142857142857,5,7
spridning,~en ~ar ,spridning,spridnings,spridningen,spridningens,spridningar,spridningars,spridningarna,spridningarnas,en,sp,sp,spr,spr,ng,en,ing,gen,0.2222222222222222,0.2727272727272727,9,11
motsats,~en ~er ,motsats,motsats,motsatsen,motsatsens,motsatser,motsatsers,motsatserna,motsatsernas,en,mo,mo,mot,mot,ts,en,ats,sen,0.2857142857142857,0.3333333333333333,7,9
hållbarhet,~en ,hållbarhet,hållbarhets,hållbarheten,hållbarhetens,NOP,NOP,NOP,NOP,en,hå,hå,hål,hål,et,en,het,ten,0.3,0.3333333333333333,10,12
suga,~n sugor ,suga,sugas,sugan,sugans,sugor,sugors,sugorna,sugornas,en,su,su,sug,sug,ga,an,uga,gan,0.5,0.4,4,5
emissarie,~n ~r ,emissarie,emissaries,emissarien,emissariens,emissarier,emissariers,emissarierna,emissariernas,en,em,em,emi,emi,ie,en,rie,ien,0.5555555555555556,0.5,9,10
familj,~en ~er ,familj,familjs,familjen,familjens,familjer,familjers,familjerna,familjernas,en,fa,fa,fam,fam,lj,en,ilj,jen,0.3333333333333333,0.375,6,8
hög,~en ~ar ,hög,högs,högen,högens,högar,högars,högarna,högarnas,en,hö,hö,hög,hög,ög,en,hög,gen,0.3333333333333333,0.4,3,5
praxis,best. ~ el. ~en ,praxis,praxis,praxis (praxisen),praxis (praxisens),NOP,NOP,NOP,NOP,en,pr,pr,pra,pra,is,en,xis,sen,0.3333333333333333,0.29411764705882354,6,17
sebu,~n ~er ,sebu (en zebu),sebus (en zebus),sebun (zebun),sebuns (zebuns),sebuer (zebuer),sebuers (zebuers),sebuerna (zebuerna),sebuernas (zebuernas),en,se,se,seb,seb,bu,un,ebu,bun,0.35714285714285715,0.3076923076923077,14,13
socka,~n sockor ,socka,sockas,sockan,sockans,sockor,sockors,sockorna,sockornas,en,so,so,soc,soc,ka,an,cka,kan,0.4,0.3333333333333333,5,6
soptunna,~n ?tunnor ,soptunna,soptunnas,soptunnan,soptunnans,soptunnor,soptunnors,soptunnorna,soptunnornas,en,so,so,sop,sop,na,an,nna,nan,0.375,0.3333333333333333,8,9
förutsättning,~en ~ar ,förutsättning,förutsättnings,förutsättningen,förutsättningens,förutsättningar,förutsättningars,förutsättningarna,förutsättningarnas,en,fö,fö,för,för,ng,en,ing,gen,0.3076923076923077,0.3333333333333333,13,15
inkomst,~en ~er ,inkomst,inkomsts,inkomsten,inkomstens,inkomster,inkomsters,inkomsterna,inkomsternas,en,in,in,ink,ink,st,en,mst,ten,0.2857142857142857,0.3333333333333333,7,9
